"indulo_keszlet","cikkszam","megnevezes","szin","osztaly","meret"
1,11021,"Póló","csíkos",2,"2XL"
1,11021,"Póló","csíkos",2,"L"
3,11025,"Gy.Póló","csíkos",1,5
5,11025,"Gy.Póló","csíkos",1,6
8,11025,"Gy.Póló","csíkos",1,8
1,11030,"Póló","csíkos",2,"S"
2,11039,"Póló","csíkos",2,"S"
1,11039,"Póló","csíkos",2,"XL"
1,11039,"Póló","fehér",2,"L"
4,11039,"Póló","fehér",2,"M"
3,11039,"Póló","fehér",2,"XL"
2,11039,"Póló","s.kék",1,"S"
1,11039,"Póló","s.kék",2,"M"
1,11060,"Póló","csíkos",2,"M"
2,11060,"Póló","szürke",2,"M"
2,11060,"Póló","szürke",2,"XL"
1,14649,"N.Pulóver","barna",1,"M"
1,14840,"Gy.sál","fehér",2,"egy méret"
1,14860,"Pulóver","beige",2,"M"
3,14990,"Pulóver","bordó",1,"M"
1,14990,"Pulóver","fekete",1,"M"
1,15000,"Pulóver","farmer betétes",1,"2XL"
1,15000,"Pulóver","farmer betétes",1,"L"
1,15000,"Pulóver","farmer betétes",1,"M"
2,15000,"Pulóver","farmer betétes",1,"XL"
1,15048,"Pulóver","fekete",2,"L"
1,15067,"Tunika","szürke",2,"M"
1,15067,"Tunika","szürke",2,"XL"
1,15068,"F.Pulóver","v.szürke",1,"M"
1,15068,"Pulóver","zöld",1,"S"
2,15098,"Pulóver","rombusz",1,"2XL"
3,15098,"Pulóver","rombusz",1,"M"
2,15098,"Pulóver","rombusz",1,"XL"
1,15100,"Kardigán","fehér",2,"XL"
1,15101,"Pulóver","fehér",2,"L"
2,15101,"Pulóver","fehér",2,"M"
3,15101,"Pulóver","fehér",2,"S"
1,15102,"Gy.Kardigán","fehér",2,4
2,15102,"Gy.Kardigán","fehér",2,6
7,15103,"Ruha","bordó",1,"L"
7,15103,"Ruha","bordó",1,"M"
8,15103,"Ruha","bordó",1,"S"
5,15103,"Ruha","bordó",1,"XS"
7,15103,"Ruha","ecrü",1,"3XL"
8,15103,"Ruha","ecrü",1,"L"
7,15103,"Ruha","ecrü",1,"M"
8,15103,"Ruha","ecrü",1,"S"
8,15103,"Ruha","ecrü",1,"XL"
1,15103,"Ruha","fehér",2,"2XL"
1,15103,"Ruha","fehér",2,"3XL"
1,15103,"Ruha","fehér",2,"M"
1,15103,"Ruha","fehér",2,"S"
2,15103,"Ruha","fehér",2,"XL"
4,15103,"Ruha","kék",1,"L"
7,15103,"Ruha","s.kék",1,"L"
6,15103,"Ruha","s.kék",1,"M"
7,15103,"Ruha","s.kék",1,"S"
14,15103,"Ruha","s.kék",1,"XL"
7,15103,"Ruha","s.kék",1,"XS"
1,15103,"Ruha","s.kék",2,"XL"
2,15103,"Ruha","zöld",1,"L"
2,15103,"Ruha","zöld",1,"S"
1,15107,"Top","fehér",1,"L"
4,15107,"Top","fehér",1,"M"
1,15107,"Top","fehér",1,"S"
1,15107,"Top","fehér",1,"XL"
1,15108,"Pulóver","fehér",1,"XL"
1,15109,"F.Pulóver","fehér",1,"L"
1,15109,"F.Pulóver","fehér",1,"M"
1,15109,"F.Pulóver","fehér",1,"S"
1,15109,"F.Pulóver","fehér",1,"XL"
3,15110,"Gy.pulóver","fehér",2,4
1,15123,"Bolero","kék",1,"XL"
1,15123,"Bolero","piros",1,"L"
2,15123,"Bolero","piros",1,"XL"
2,15126,"Ruha","fehér",1,"L"
7,15126,"Ruha","fehér",1,"M"
2,15126,"Ruha","fehér",1,"XL"
1,15134,"Pulóver","barna mintás",1,"2XL"
1,15134,"Pulóver","barna mintás",1,"L"
1,15134,"Pulóver","barna mintás",1,"M"
2,15134,"Pulóver","barna mintás",1,"XL"
3,15158,"Szoknya","beige",1,"XL"
1,15160,"Pulóver - PICK","v.szürke",1,"5XL"
1,15160,"Pulóver","fekete",2,"XL"
5,15160,"Pulóver","s.kék",2,"M"
5,15160,"Pulóver","s.kék",2,"S"
6,15163,"Garbó","fekete",1,"2XL"
5,15163,"Garbó","fekete",1,"L"
6,15163,"Garbó","fekete",1,"S"
2,15163,"Garbó","s.kék",1,"S"
1,15163,"Pulóver","fekete",2,"XL"
2,15172,"Mellény","fekete",1,"3XL"
2,15172,"Mellény","fekete",1,"L"
4,15172,"Mellény","fekete",1,"M"
5,15172,"Mellény","fekete",1,"S"
6,15172,"Mellény","fekete",1,"XL"
2,15172,"Mellény","s.kék",2,"M"
5,15172,"Mellény","s.kék",2,"S"
1,15173,"Pulóver","fekete",2,"2XL"
1,15173,"Pulóver","fekete",2,"L"
1,15173,"Pulóver","fekete",2,"M"
1,15173,"Pulóver","fekete",2,"S"
3,15173,"Pulóver","fekete",2,"XL"
1,15173,"Pulóver","s.kék",2,"XL"
4,15173,"Pulóver","s.kék",2,"XS"
14,15174,"PICK sál - kicsi"," ",1,"egy méret"
1,15184,"Pulóver","bordó/szürke/beige",1,"2XL"
1,15184,"Pulóver","bordó/szürke/beige",1,"XL"
1,15184,"Pulóver","fekete/v.szürke/s.kék",1,"2XL"
3,15184,"Pulóver","v.kék/fehér/k.kék",1,"3XL"
1,15184,"Pulóver","v.kék/fehér/k.kék",1,"XL"
2,15185,"Pulóver","bordó/s.kék/s.szürke",1,"2XL"
2,15185,"Pulóver","s.kék/v.kék/s.szürke",1,"2XL"
2,15185,"Pulóver","v.szürke/beige/s.barna",1,"2XL"
2,15185,"Pulóver","v.szürke/s.kék/k.kék",1,"2XL"
2,15189,"Pulóver","barna,beige",1,"2XL"
2,15189,"Pulóver","barna,beige",1,"L"
2,15189,"Pulóver","barna,beige",1,"M"
2,15189,"Pulóver","barna,beige",1,"XL"
1,15189,"Pulóver","beige,v.szürke",1,"XL"
2,15189,"Pulóver","s.szürke/v.kék",1,"2XL"
2,15189,"Pulóver","s.szürke/v.kék",1,"L"
2,15189,"Pulóver","s.szürke/v.kék",1,"M"
2,15189,"Pulóver","s.szürke/v.kék",1,"XL"
3,15189,"Pulóver","v.barna/v.kék",1,"2XL"
2,15189,"Pulóver","v.barna/v.kék",1,"L"
1,15189,"Pulóver","v.barna/v.kék",1,"M"
2,15189,"Pulóver","v.barna/v.kék",1,"XL"
1,15190,"Pulóver","fekete/fehér",1,"L"
1,15190,"Pulóver","fekete/fehér",1,"M"
1,15190,"Pulóver","fekete/fehér",1,"XL"
13,15191,"Pulóver","fekete",1,"L"
3,15191,"Pulóver","fekete",1,"M"
8,15191,"Pulóver","fekete",1,"XL"
1,15193,"Pulóver","barna",1,"XL"
