"hely_azonosito","cikkszam","osztaly","megnevezes","nyilvantartasi_ar"
"biatorbagy",15001,1,"Sapka",3300
"biatorbagy",15002,1,"Sapka",3300
"biatorbagy",15103,1,"Ruha",19980
"biatorbagy",15163,1,"Garbó",13980
"biatorbagy",15172,1,"Mellény",5980
"biatorbagy",15173,1,"Pulóver",7400
"biatorbagy",15184,1,"Pulóver",13967
"biatorbagy",15204,1,"Pulóver",9980
"biatorbagy",15205,1,"Mellény",7980
"biatorbagy",15207,1,"Kardigán",13980
"biatorbagy",15237,1,"Pulóver",13980
"biatorbagy",15238,1,"Pulóver",13980
"biatorbagy",15239,1,"Pulóver",13980
"biatorbagy",15242,1,"Kardigán",10990
"biatorbagy",15243,1,"Pulóver",11980
"biatorbagy",15244,1,"Pulóver",11980
"biatorbagy",15245,1,"Pulóver",7980
"biatorbagy",15246,1,"Mellény",7980
"biatorbagy",15247,1,"Pulóver",13980
"biatorbagy",15266,1,"Póló",7990
"biatorbagy",15269,1,"Pulóver",13990
"biatorbagy",15271,1,"Ruha",12990
"biatorbagy",15272,1,"Top",10990
"biatorbagy",15282,1,"Kardigán",11650
"biatorbagy",15293,1,"Kabátka",6980
"biatorbagy",15295,1,"Top",8990
"biatorbagy",15303,1,"Ingmellény",9967
"biatorbagy",15327,1,"N.Ruha",19990
"biatorbagy",15348,1,"Ruha",19980
"biatorbagy",15375,1,"Nyakkendő",1980
"biatorbagy",15393,1,"Nyakkendő",1980
"biatorbagy",15398,1,"Nyakkendő Sz.E.",5700
"biatorbagy",15399,1,"Ruha SZ.E.",24990
"biatorbagy",15405,1,"Ruha SZ.E.",24990
"biatorbagy",15406,1,"Pulóver SZ.E.",33300
"biatorbagy",15413,1,"Sál Sz.E.",6990
"biatorbagy",15414,1,"Sál Sz.E.",6990
"biatorbagy",15473,1,"Pulóver",7400
"biatorbagy",15474,1,"Pulóver",7400
"biatorbagy",15550,1,"Pulóver",14980
"biatorbagy",15551,1,"Pulóver",14980
"biatorbagy",15552,1,"Pulóver",8380
"biatorbagy",15553,1,"Pulóver",8380
"biatorbagy",15562,1,"Gy.pulóver 110/116, 122/128",7300
"biatorbagy",15563,1,"Pulóver",8980
"biatorbagy",15564,1,"Pulóver",6780
"biatorbagy",15566,1,"Pulóver",9980
"biatorbagy",15568,1,"Garbó",13980
"biatorbagy",15569,1,"Garbó",7500
"biatorbagy",15577,1,"Kardigán - Kalocsai",22990
"biatorbagy",15596,1,"Mellény",6980
"biatorbagy",15597,1,"Pulóver",8980
"biatorbagy",15598,1,"Gy.pulóver",7300
"biatorbagy",15599,1,"Pulóver",13300
"biatorbagy",15622,1,"Ruha",13990
"biatorbagy",15633,1,"Ruha",14990
"biatorbagy",15634,1,"Tunika",12980
"biatorbagy",15635,1,"Pulóver",10980
"biatorbagy",15636,1,"Szoknya",13990
"biatorbagy",15638,1,"Szoknya",13990
"biatorbagy",15639,1,"Ruha",12980
"biatorbagy",15640,1,"Szoknya",14990
"biatorbagy",15641,1,"Szoknya",14990
"biatorbagy",15642,1,"Szoknya",14990
"biatorbagy",15643,1,"Szoknya",14990
"biatorbagy",15644,1,"Szoknya",14990
"biatorbagy",15645,1,"Szoknya",14990
"biatorbagy",15655,1,"Pulóver",13980
"biatorbagy",15656,1,"Póló",11900
"biatorbagy",15657,1,"Póló",11900
"biatorbagy",15658,1,"Póló",11900
"biatorbagy",15659,1,"Póló",11900
"biatorbagy",15675,1,"Top",12990
"biatorbagy",15680,1,"Pulóver",14980
"biatorbagy",15681,1,"Pulóver",14980
"biatorbagy",15685,1,"Pulóver",13980
"biatorbagy",15693,1,"Pulóver",14990
"biatorbagy",19031,1,"Szoknya",5990
"biatorbagy",70511,1,"Kabát Z.K.",29900
"biatorbagy",70565,1,"Ruha Z.K.",24990
"biatorbagy",73305,1,"Ruha Z.K.",29900
"biatorbagy",73312,1,"Kabátka Z.K.",29900
"biatorbagy",74248,1,"Pulóver Z.K.",24990
"biatorbagy",74555,1,"Szoknya Z.K.",19990
"biatorbagy",74712,1,"Kabátka Z.K.",29990
"biatorbagy",75062,1,"Ruha Z.K.",44990
"heviz",15103,1,"Ruha",19990
"heviz",15237,1,"Férfi pulóver",17990
"heviz",15243,1,"Férfi pulóver",16990
"heviz",15244,1,"Férfi pulóver",16990
"heviz",15246,1,"Férfi mellény",13990
"heviz",15269,1,"Pulóver",14900
"heviz",15291,1,"Női ruha",15990
"heviz",15292,1,"Női kardigán",13990
"heviz",15375,1,"Nyakkendő",2990
"heviz",15393,1,"Nyakkendő",2990
"heviz",15398,1,"Nyakkendő Sz.E.",19990
"heviz",15413,1,"Sál Sz.E.",22990
"heviz",15415,1,"Sál Sz.E.",22990
"heviz",15474,1,"Férfi pulóver",18990
"heviz",15550,1,"Pulóver",20990
"heviz",15551,1,"Pulóver",20990
"heviz",15563,1,"Női pulóver",17990
"heviz",15565,1,"Sál",2990
"heviz",15596,1,"Mellény",13990
"heviz",15599,1,"Pulóver",18990
"heviz",15633,1,"Ruha",19990
"heviz",15634,1,"Tunika",20990
"heviz",15635,1,"Pulóver",18990
"heviz",15636,1,"Szoknya",13990
"heviz",15638,1,"Szoknya",13990
"heviz",15640,1,"Szoknya",14990
"heviz",15641,1,"Szoknya",14990
"heviz",15642,1,"Szoknya",14990
"heviz",15643,1,"Szoknya",14990
"heviz",15644,1,"Szoknya",14990
"heviz",15645,1,"Szoknya",14990
"heviz",15655,1,"Pulóver",20900
"heviz",15656,1,"Póló",9900
"heviz",15657,1,"Póló",14900
"heviz",15658,1,"Póló",14900
"heviz",15659,1,"Póló",14900
"heviz",15672,1,"Pulóver",19990
"heviz",15673,1,"Pulóver",21990
"heviz",15681,1,"Pulóver",20990
"heviz",15693,1,"Pulóver",20990
"heviz",15694,1,"Pulóver",20990
"heviz",15695,1,"Pulóver",20990
"heviz",15718,1,"Pulóver",22900
"heviz",15792,1,"Pulóver",22900
"heviz",15793,1,"Pulóver",23900
"heviz",15799,1,"Gyerek pulóver",12900
"heviz",15830,1,"Kardigán",19900
