"id","azonosito","cim","name","nev","szefo_e","sorrend","telepules"
"__export__.chance_hely_01","gyartas","Tavasz u. 2.","Gyártás","SZEFO Zrt. gyártás","False","10","Szeged"
"__export__.chance_hely_02","keszaru","Tavasz u. 2.","Készáru raktár","SZEFO Zrt. készáru raktár","True","20","Szeged"
"__export__.chance_hely_03","marketing","Tavasz u. 2.","Marketing raktár","SZEFO Zrt. marketing raktár","True","30","Szeged"
"__export__.chance_hely_04","minta","Tavasz u. 2.","Mintaraktár","SZEFO Zrt. mintaraktár","True","40","Szeged"
"__export__.chance_hely_05","biatorbagy","Budaörsi út 4.","Biatorbágy üzlet","SZEFO Zrt. üzlet","True","50","Biatorbágy"
"__export__.chance_hely_06","szeged","Tisza Lajos krt.","Szeged Márkabolt","SZEFO Zrt. márkabolt","True","60","Szeged"
"__export__.chance_hely_07","heviz","Kossuth L. u. 9 - 11.","Hévíz Márkabolt","SZEFO Zrt. márkabolt","True","70","Hévíz"
"__export__.chance_hely_08","vasar","","Kihelyezett vásár","SZEFO Zrt. kihelyezett vásár","True","80",""
"__export__.chance_hely_09","roland","Elnök u. 1.","Roland Zrt.","Roland Divatház Zrt.","True","90","Budapest"
"__export__.chance_hely_10","kattiz","Szt. István krt. 17.","Kattiz Kft.","Kattiz Kft.","True","100","Budapest"
"__export__.chance_hely_11","gold","Király u. 2.","Gold Kft.","Gold Spoon Catering Kft.","True","110","Budapest"
"__export__.chance_hely_12","javitas","Tavasz u. 2.","Javítás","SZEFO Zrt. javítás raktár","True","120","Szeged"
"__export__.chance_hely_13","selejt","Tavasz u. 2.","Selejtraktár","SZEFO Zrt. selejtraktár","True","130","Szeged"
"__export__.chance_hely_14","korrekcio","","Készlethelyesbítés","SZEFO Zrt. készlethelyesbítés","False","140",""
"__export__.chance_hely_15","vevo","","Értékesítés","","False","150",""
"__export__.chance_hely_16","indulo","","Induló készlet","Induló készlet","False","160",""
