"id","mozgaskod","mozgasnev"
"__export__.chance_mozgastorzs_1","001","Eladás"
"__export__.chance_mozgastorzs_2","002","Eladás rendelésre"
"__export__.chance_mozgastorzs_3","003","Helyesbítő számla"
"__export__.chance_mozgastorzs_4","004","Továbbszámlázás"
"__export__.chance_mozgastorzs_5","005","Számla ""csom. nélkül"
"__export__.chance_mozgastorzs_6","006","Egyéb számla"
"__export__.chance_mozgastorzs_7","007","Átadás 13-ból 16-ba"
"__export__.chance_mozgastorzs_8","008","Chance Ruh.üzl.átad."
"__export__.chance_mozgastorzs_9","009","Diszkontnak átadás"
"__export__.chance_mozgastorzs_10","010","Devizás szállító"
"__export__.chance_mozgastorzs_11","011","Aréna-Chance átadás"
"__export__.chance_mozgastorzs_12","012","Belső számla"
"__export__.chance_mozgastorzs_13","013","ÁFA mentes"
"__export__.chance_mozgastorzs_14","014","Bizományosi kiszáll."
"__export__.chance_mozgastorzs_15","015","Bizományos számla"
"__export__.chance_mozgastorzs_16","016","Diszkont értékesítés"
"__export__.chance_mozgastorzs_17","017","Chance Ruh.üzl.érték"
"__export__.chance_mozgastorzs_18","018","Aréna-Chance értékes"
"__export__.chance_mozgastorzs_19","019","Tallinn fióktp.átad."
"__export__.chance_mozgastorzs_20","020","Tallinn fióktp.ért."
"__export__.chance_mozgastorzs_21","021","13-ból Vásári átadás"
"__export__.chance_mozgastorzs_22","022","Dolg.vásár értékesít"
"__export__.chance_mozgastorzs_23","023","Devizás számla"
"__export__.chance_mozgastorzs_24","024","Chance üzletnek átad"
"__export__.chance_mozgastorzs_25","025","Átadás Diszkontnak"
"__export__.chance_mozgastorzs_26","026","Átadás 04-ből 16-ba"
"__export__.chance_mozgastorzs_27","027","04-ből vásári átadás"
"__export__.chance_mozgastorzs_28","028","ÁtadásHévízChancebe"
"__export__.chance_mozgastorzs_29","029","Hévíz-Chance értékes"
"__export__.chance_mozgastorzs_30","030","Naturtex vásár érték"
"__export__.chance_mozgastorzs_31","031","Segítő vásár értékes"
