"cikkszam","megnevezes","szin","osztaly","meret","indulo_keszlet"
15103,"Ruha","bordó","1","XS",5
15103,"Ruha","s.kék","1","XS",7
15220,"Kardigán","szürke","1","XS",2
15487,"Ruha","fehér/türkiz","1","XS",1
15506,"Ruha","sárga","1","XS",1
15506,"Ruha","fehér","1","XS",2
15508,"Szoknya","sárga","1","XS",1
15508,"Szoknya","fehér","1","XS",1
15509,"Pulóver","piros","1","XS",1
15515,"Ruha","mustár","1","XS",4
15563,"Pulóver","v.szürke","1","XS",3
15563,"Pulóver","s.barna","1","XS",2
15568,"Garbó","v.kék (farmer)","1","XS",7
15568,"Garbó","k.kék (antra)","1","XS",7
15568,"Garbó","fekete","1","XS",6
15568,"Garbó","barna","1","XS",7
15569,"Garbó","piros","1","XS",2
15569,"Garbó","v.kék","1","XS",1
15569,"Garbó","sárga","1","XS",4
15569,"Garbó","piros","1","XS",1
15569,"Garbó","k.kék","1","XS",5
15569,"Garbó","s.kék","1","XS",9
15569,"Garbó","fekete","1","XS",2
15569,"Garbó","f.kék","1","XS",4
15569,"Garbó","narancs","1","XS",1
15569,"Garbó","s.lila","1","XS",3
15569,"Garbó","v.lila","1","XS",1
15596,"Mellény","fekete","1","XS",5
15633,"Ruha","szürke/bordó","1","XS",5
15633,"Ruha","barna/narancs","1","XS",1
15634,"Tunika","sárga","1","XS",1
15634,"Tunika","piros","1","XS",1
15634,"Tunika","k.kék","1","XS",10
15634,"Tunika","s.kék (f)","1","XS",6
15634,"Tunika","fekete","1","XS",7
15634,"Tunika","f.kék","1","XS",7
15636,"Szoknya","s.kék","1","XS",7
15636,"Szoknya","fekete","1","XS",8
15636,"Szoknya","piros","1","XS",7
15636,"Szoknya","v.kék","1","XS",8
15636,"Szoknya","szürke","1","XS",9
15639,"Ruha","s.barna","1","XS",5
15639,"Ruha","narancs","1","XS",6
15639,"Ruha","mogyoró","1","XS",2
15639,"Ruha","v.kék","1","XS",8
15640,"Szoknya","sárga/barna","1","XS",2
15640,"Szoknya","kék/s.kék","1","XS",2
15640,"Szoknya","piros/fekete","1","XS",1
15641,"Szoknya","kék/s.kék","1","XS",1
15641,"Szoknya","piros/fekete","1","XS",1
15642,"Szoknya","sárga/barna","1","XS",1
15642,"Szoknya","kék/f.kék","1","XS",2
15642,"Szoknya","s.kék/k.kék","1","XS",4
15643,"Szoknya","kék/s.kék","1","XS",3
15644,"Szoknya","sárga/barna","1","XS",1
15644,"Szoknya","kék/s.kék","1","XS",3
15645,"Szoknya","4 szín","1","XS",1
15685,"N.Pulóver","bordó","1","XS",10
15685,"N.Pulóver","zöld","1","XS",5
15685,"N.Pulóver","s.kék","1","XS",10
15685,"N.Pulóver","fehér","1","XS",8
15685,"N.Pulóver","szürke","1","XS",5
15693,"N.Pulóver","türkiz","1","XS",1
15693,"N.Pulóver","piros","1","XS",1
15693,"N.Pulóver","fehér","1","XS",6
15693,"N.Pulóver","piros","1","XS",5
15693,"N.Pulóver","s.kék","1","XS",7
15693,"N.Pulóver","kék","1","XS",5
15694,"N.Pulóver","s.kék","1","XS",1
15694,"N.Pulóver","zöld","1","XS",5
15694,"N.Pulóver","barna","1","XS",5
15694,"N.Pulóver","fehér","1","XS",8
15694,"N.Pulóver","s.kék","1","XS",4
15695,"N.Pulóver","ecrü","1","XS",1
15695,"N.Pulóver","zöld","1","XS",5
15695,"N.Pulóver","narancs","1","XS",5
15695,"N.Pulóver","türkiz","1","XS",5
15695,"N.Pulóver","bordó","1","XS",10
15695,"N.Pulóver","piros","1","XS",5
15695,"N.Pulóver","v.szürke","1","XS",1
15695,"N.Pulóver","s.kék","1","XS",5
15695,"N.Pulóver","fehér","1","XS",5
15695,"N.Pulóver","szürke","1","XS",3
19028,"Szoknya","kék/fehér","1","XS",3
19030,"Top","piros/fehér","1","XS",2
19030,"Top","kék/fehér","1","XS",4
70565,"Ruha Z.K.","s.kék","1","XS",1
73305,"Ruha Z.K.","kék","1","XS",2
73312,"Kabátka Z.K.","szürke","1","XS",5
73312,"Kabátka Z.K.","kék","1","XS",2
74860,"Pulóver Z.K.","fehér/kék","1","XS",3
11039,"Póló","s.kék","1","S",2
15068,"Pulóver","zöld","1","S",1
15103,"Ruha","zöld","1","S",2
15103,"Ruha","ecrü","1","S",8
15103,"Ruha","bordó","1","S",8
15103,"Ruha","s.kék","1","S",7
15107,"Top","fehér","1","S",1
15109,"F.Pulóver","fehér","1","S",1
15163,"Garbó","s.kék","1","S",2
15163,"Garbó","fekete","1","S",6
15172,"Mellény","fekete","1","S",5
15207,"Kardigán","szürke","1","S",1
15207,"Kardigán","barna","1","S",1
15232,"Top","fehér","1","S",1
15234,"Tunika","sárga","1","S",5
15234,"Tunika","fehér","1","S",5
15237,"Pulóver","fehér","1","S",4
15237,"Pulóver","s.kék","1","S",31
15237,"Pulóver","barna","1","S",4
15237,"Pulóver","antracit","1","S",12
15238,"Pulóver","s.kék","1","S",25
15239,"Pulóver","s.kék","1","S",30
15240,"Mellény","piros","1","S",4
15240,"Mellény","fuxia (ciklámen)","1","S",2
15242,"Kardigán","piros","1","S",2
15242,"Kardigán","fixia","1","S",1
15248,"Ruha","sárga","1","S",1
15249,"Kardigán","sárga","1","S",4
15249,"Kardigán","pink","1","S",3
15249,"Kardigán","s.kék","1","S",2
15250,"Póló","sárga","1","S",3
15250,"Póló","pink","1","S",3
15251,"Póló","sárga","1","S",4
15251,"Póló","pink","1","S",1
15272,"Póló","mustár","1","S",11
15272,"Póló","lila","1","S",7
15275,"Ruha","pink","1","S",1
15275,"Ruha","szürke","1","S",2
15275,"Ruha","rózsaszín","1","S",2
15277,"Póló","szürke","1","S",4
15278,"Top","szürke","1","S",9
15278,"Top","pink","1","S",2
15280,"Top","zöld","1","S",3
15280,"Top","lila","1","S",5
15280,"Top","fuxia","1","S",2
15281,"Póló","barna","1","S",5
15283,"Szoknya","zöld","1","S",4
15283,"Szoknya","türkiz","1","S",6
15283,"Szoknya","fehér","1","S",2
15283,"Szoknya","barna","1","S",1
15283,"Szoknya","barna","1","S",6
15285,"Top","kék","1","S",12
15285,"Top","zöld","1","S",1
15285,"Top","lazac","1","S",15
15285,"Top","barna","1","S",12
15285,"Top","beige","1","S",5
15286,"Pulóver","v.szürke","1","S",5
15287,"Pulóver","karamell","1","S",1
15287,"Pulóver","v.szürke","1","S",5
15288,"Pulóver","szürke/narancs","1","S",4
15288,"Pulóver","szürke/rózsaszín","1","S",3
15291,"Ruha","zöld","1","S",6
15292,"Kardigán","sárga","1","S",1
15292,"Kardigán","zöld","1","S",5
15298,"Kardigán","barna","1","S",1
15305,"Kardigán","sárga","1","S",2
15473,"Pulóver","bordó","1","S",5
15473,"Pulóver","k.szürke","1","S",2
15473,"Pulóver","v.szürke","1","S",6
